1##1	سمو اله رحم رحم
23##39	قول ربب نصر كذب
23##40	قول قلل صبح ندم
23##41	اخذ صیح حقق جعل غثو بعد قوم ظلم
23##42	نشا بعد قرن اخر
23##43	سبق امم اجل اخر
23##44	رسل رسل وتر كلل جیا امم رسل كذب تبع بعض بعض جعل حدث بعد قوم امن
23##45	رسل اخو ایی سلط بین
23##46	ملا كبر كون قوم علو
23##47	قول امن بشر مثل قوم عبد
23##48	كذب كون هلك
23##49	اتی كتب هدی
23##50	جعل بنی امم ایی اوی ربو قرر عین
23##51	رسل اكل طیب عمل صلح عمل علم
23##52	امم امم وحد ربب وقی
23##53	قطع امر بین زبر كلل حزب فرح
23##54	وذر غمر حین
23##55	حسب مدد مول بنی
23##56	سرع خیر شعر
23##57	خشی ربب شفق
23##58	ایی ربب امن
23##59	ربب شرك
23##60	اتی اتی قلب وجل ربب رجع
23##61	سرع خیر سبق
23##62	كلف نفس وسع كتب نطق حقق ظلم
23##63	قلب غمر عمل دون عمل
23##64	اخذ ترف عذب جار
23##65	جار یوم نصر
23##66	كون ایی تلو كون عقب نكص
23##67	كبر سمر هجر
23##68	دبر قول جیا اتی ابو اول
23##69	عرف رسل نكر
23##70	قول جنن جیا حقق كثر حقق كره
23##71	تبع حقق هوی فسد سمو ارض اتی ذكر ذكر عرض
23##72	سال خرج خرج ربب خیر خیر رزق
23##73	دعو صرط قوم
23##74	امن اخر صرط نكب
23##75	رحم كشف ضرر لجج طغی عمه
23##76	اخذ عذب كین ربب ضرع
23##77	فتح بوب عذب شدد بلس
23##78	نشا سمع بصر فاد قلل شكر
23##79	ذرا ارض حشر
23##80	حیی موت خلف لیل نهر عقل
23##81	قول مثل قول اول
23##82	قول موت كون ترب عظم بعث
23##83	وعد ابو قبل سطر اول
23##84	قول ارض كون علم
23##85	قول اله قول ذكر
23##86	قول ربب سمو سبع ربب عرش عظم
23##87	قول اله قول وقی
23##88	قول یدی ملك كلل شیا جور جور كون علم
23##89	قول اله قول انی سحر
23##90	اتی حقق كذب
23##91	اخذ اله ولد كون اله ذهب كلل اله خلق علو بعض بعض سبح اله وصف
23##92	علم غیب شهد علو شرك
23##93	قول ربب رای وعد
23##94	ربب جعل قوم ظلم
23##95	رای وعد قدر
23##96	دفع حسن سوا علم وصف
23##97	قول ربب عوذ همز شطن
23##98	عوذ ربب حضر
23##99	جیا احد موت قول ربب رجع
23##100	عمل صلح ترك كلم قول وری یوم بعث
23##101	نفخ صور نسب بین سال
23##102	ثقل وزن فلح
23##103	خفف وزن خسر نفس خلد
23##104	لفح وجه نور كلح
23##105	كون ایی تلو كون كذب
23##106	قول ربب غلب شقو كون قوم ضلل
23##107	ربب خرج عود ظلم
23##108	قول خسا كلم
23##109	كون فرق عبد قول ربب امن غفر رحم خیر رحم
23##110	اخذ سخر نسی ذكر كون ضحك
23##111	جزی یوم صبر فوز
23##112	قول لبث ارض عدد سنو
23##113	قول لبث یوم بعض یوم سال عدد
23##114	قول لبث قلل كون علم
23##115	حسب خلق عبث رجع
23##116	علو اله ملك حقق اله ربب عرش كرم
23##117	دعو اله اله اخر برهن حسب عند ربب فلح كفر
23##118	قول ربب غفر رحم خیر رحم
24##1	سور نزل فرض نزل ایی بین ذكر
24##2	زنی زنی جلد كلل وحد مای جلد اخذ راف دین اله كون امن اله یوم اخر شهد عذب طوف امن
24##3	زنی نكح زنی شرك زنی نكح زنی شرك حرم امن
24##4	رمی حصن اتی ربع شهد جلد ثمن جلد قبل شهد ابد فسق
24##5	توب بعد صلح اله غفر رحم
24##6	رمی زوج كون شهد نفس شهد احد ربع شهد اله صدق
24##7	خمس لعن اله كون كذب
24##8	درا عذب شهد ربع شهد اله كذب
24##9	خمس غضب اله كون صدق
24##10	فضل اله رحم اله توب حكم
24##11	جیا افك عصب حسب شرر خیر كلل مرا كسب اثم ولی كبر عذب عظم
24##12	سمع ظنن امن امن نفس خیر قول افك بین
24##13	جیا ربع شهد اتی شهد عند اله كذب
24##14	فضل اله رحم دنو اخر مسس فیض عذب عظم
24##15	لقی لسن قول فوه لیس علم حسب هون عند اله عظم
24##16	سمع قول كون كلم سبح بهت عظم
24##17	وعظ اله عود مثل ابد كون امن
24##18	بین اله ایی اله علم حكم
24##19	حبب شیع فحش امن عذب الم دنو اخر اله علم علم
24##20	فضل اله رحم اله راف رحم
24##21	امن تبع خطو شطن تبع خطو شطن امر فحش نكر فضل اله رحم زكو احد ابد اله زكو شیا اله سمع علم
24##22	الو اول فضل وسع اتی اول قرب سكن هجر سبل اله عفو صفح حبب غفر اله اله غفر رحم
24##23	رمی حصن غفل امن لعن دنو اخر عذب عظم
24##24	یوم شهد لسن یدی رجل كون عمل
24##25	وفی اله دین حقق علم اله حقق بین
24##26	خبث خبث خبث خبث طیب طیب طیب طیب برا قول غفر رزق كرم
24##27	امن دخل بیت غیر بیت انس سلم اهل خیر ذكر
24##28	وجد احد دخل اذن قول رجع رجع زكو اله عمل علم
24##29	لیس جنح دخل بیت غیر سكن متع اله علم بدو كتم
24##30	قول امن غضض بصر حفظ فرج زكو اله خبر صنع
24##31	قول امن غضض بصر حفظ فرج بدو زین ظهر ضرب خمر جیب بدو زین بعل ابو ابو بعل بنی بنی بعل اخو بنی اخو بنی اخو نسو ملك یمن تبع غیر اول ارب رجل طفل ظهر عور نسو ضرب رجل علم خفی زین توب اله جمع امن فلح
24##32	نكح ایم صلح عبد امو كون فقر غنی اله فضل اله وسع علم
24##33	عفف وجد نكح غنی اله فضل بغی كتب ملك یمن كتب علم خیر اتی مول اله اتی كره فتی بغی رود حصن بغی عرض حیی دنو كره اله بعد كره غفر رحم
24##34	نزل ایی بین مثل خلو قبل وعظ وقی
24##35	اله نور سمو ارض مثل نور شكو صبح صبح زجج زجج كوكب درر وقد شجر برك زیت شرق غرب كود زیت ضوا مسس نور نور نور هدی اله نور شیا ضرب اله مثل نوس اله كلل شیا علم
24##36	بیت اذن اله رفع ذكر سمو سبح غدو اصل
24##37	رجل لهو تجر بیع ذكر اله قوم صلو اتی زكو خوف یوم قلب قلب بصر
24##38	جزی اله حسن عمل زید فضل اله رزق شیا غیر حسب
24##39	كفر عمل سرب قوع حسب ظما موه جیا وجد شیا وجد اله عند وفی حسب اله سرع حسب
24##40	ظلم بحر لجج غشو موج فوق موج فوق سحب ظلم بعض فوق بعض خرج یدی كود رای جعل اله نور نور
24##41	رای اله سبح سمو ارض طیر صفف كلل علم صلو سبح اله علم فعل
24##42	اله ملك سمو ارض اله صیر
24##43	رای اله زجو سحب الف بین جعل ركم رای ودق خرج خلل نزل سمو جبل برد صوب شیا صرف شیا كود سنو برق ذهب بصر
24##44	قلب اله لیل نهر عبر اول بصر
24##45	اله خلق كلل دبب موه مشی بطن مشی رجل مشی ربع خلق اله شیا اله كلل شیا قدر
24##46	نزل ایی بین اله هدی شیا صرط قوم
24##47	قول امن اله رسل طوع ولی فرق بعد امن
24##48	دعو اله رسل حكم بین فرق عرض
24##49	كون حقق اتی ذعن
24##50	قلب مرض ریب خوف حیف اله رسل ظلم
24##51	كون قول امن دعو اله رسل حكم بین قول سمع طوع فلح
24##52	طوع اله رسل خشی اله وقی فوز
24##53	قسم اله جهد یمن امر خرج قول قسم طوع عرف اله خبر عمل
24##54	قول طوع اله طوع رسل ولی حمل حمل طوع هدی رسل بلغ بین
24##55	وعد اله امن عمل صلح خلف ارض خلف قبل مكن دین رضو بدل بعد خوف امن عبد شرك شیا كفر بعد فسق
24##56	قوم صلو اتی زكو طوع رسل رحم
24##57	حسب كفر عجز ارض اوی نور باس صیر
24##58	امن اذن ملك یمن بلغ حلم ثلث مرر قبل صلو فجر حین وضع ثوب ظهر بعد صلو عشو ثلث عور لیس جنح بعد طوف بعض بعض بین اله ایی اله علم حكم
24##59	بلغ طفل حلم اذن اذن قبل بین اله ایی اله علم حكم
24##60	قعد نسو رجو نكح لیس جنح وضع ثوب غیر برج زین عفف خیر اله سمع علم
24##61	لیس عمی حرج عرج حرج مرض حرج نفس اكل بیت بیت ابو بیت امم بیت اخو بیت اخو بیت عمم بیت عمم بیت خول بیت خول ملك فتح صدق لیس جنح اكل جمع شتت دخل بیت سلم نفس حیی عند اله برك طیب بین اله ایی عقل
24##62	امن امن اله رسل كون امر جمع ذهب اذن اذن امن اله رسل اذن بعض شان اذن شیا غفر اله اله غفر رحم
24##63	جعل دعو رسل بین دعو بعض بعض علم اله سلل لوذ حذر خلف امر صوب فتن صوب عذب الم
24##64	اله سمو ارض علم یوم رجع نبا عمل اله كلل شیا علم
25##1	برك نزل فرق عبد كون علم نذر
25##2	ملك سمو ارض اخذ ولد كون شرك ملك خلق كلل شیا قدر قدر
25##3	اخذ دون اله خلق شیا خلق ملك نفس ضرر نفع ملك موت حیی نشر
25##4	قول كفر افك فری عون قوم اخر جیا ظلم زور
25##5	قول سطر اول كتب ملو بكر اصل
25##6	قول نزل علم سرر سمو ارض كون غفر رحم
25##7	قول رسل اكل طعم مشی سوق نزل ملك كون نذر
25##8	لقی كنز كون جنن اكل قول ظلم تبع رجل سحر
25##9	نظر كیف ضرب مثل ضلل طوع سبل
25##10	برك شیا جعل خیر جنن جری تحت نهر جعل قصر
25##11	كذب سوع عتد كذب سوع سعر
25##12	رای كون بعد سمع غیظ زفر
25##13	لقی كون ضیق قرن دعو ثبر
25##14	دعو یوم ثبر وحد دعو ثبر كثر
25##15	قول خیر جنن خلد وعد وقی كون جزی صیر
25##16	شیا خلد كون ربب وعد سال
25##17	یوم حشر عبد دون اله قول ضلل عبد ضلل سبل
25##18	قول سبح كون بغی اخذ دون ولی متع ابو نسی ذكر كون قوم بور
25##19	كذب قول طوع صرف نصر ظلم ذوق عذب كبر
25##20	رسل قبل رسل اكل طعم مشی سوق جعل بعض بعض فتن صبر كون ربب بصر
25##21	قول رجو لقی نزل ملك رای ربب كبر نفس عتو عتو كبر
25##22	یوم رای ملك بشر جرم قول حجر حجر
25##23	قدم عمل عمل جعل هبو نثر
25##24	صحب جنن خیر قرر حسن قیل
25##25	یوم شقق سمو غمم نزل ملك نزل
25##26	ملك حقق رحم كون یوم كفر عسر
25##27	یوم عضض ظلم یدی قول اخذ رسل سبل
25##28	اخذ فلن خلل
25##29	ضلل ذكر بعد جیا كون شطن انس خذل
25##30	قول رسل ربب قوم اخذ قرا هجر
25##31	جعل كلل نبا عدو جرم كفی ربب هدی نصر
25##32	قول كفر نزل قرا جمل وحد ثبت فاد رتل رتل
25##33	اتی مثل جیا حقق حسن فسر
25##34	حشر وجه شرر كون ضلل سبل
25##35	اتی كتب جعل اخو وزر
25##36	قول ذهب قوم كذب ایی دمر دمر
25##37	قوم كذب رسل غرق جعل نوس ایی عتد ظلم عذب الم
25##38	عود صحب رسس قرن بین كثر
25##39	كلل ضرب مثل كلل تبر تبر
25##40	اتی قری مطر مطر سوا كون رای كون رجو نشر
25##41	رای اخذ هزا بعث اله رسل
25##42	كود ضلل اله صبر علم حین رای عذب ضلل سبل
25##43	رای اخذ اله هوی كون وكل
25##44	حسب كثر سمع عقل نعم ضلل سبل
25##45	رای ربب كیف مدد ظلل شیا جعل سكن جعل شمس دلل
25##46	قبض قبض یسر
25##47	جعل لیل لبس نوم سبت جعل نهر نشر
25##48	رسل روح بشر بین یدی رحم نزل سمو موه طهر
25##49	حیی بلد موت سقی خلق نعم انس كثر
25##50	صرف بین ذكر ابی كثر نوس كفر
25##51	شیا بعث كلل قری نذر
25##52	طوع كفر جهد جهد كبر
25##53	مرج بحر عذب فرت ملح اجج جعل بین حجر حجر
25##54	خلق موه بشر جعل نسب صهر كون ربب قدر
25##55	عبد دون اله نفع ضرر كون كفر ربب ظهر
25##56	رسل بشر نذر
25##57	قول سال اجر شیا اخذ ربب سبل
25##58	وكل حیی موت سبح حمد كفی ذنب عبد خبر
25##59	خلق سمو ارض بین ستت یوم سوی عرش رحم سال خبر
25##60	قول سجد رحم قول رحم سجد امر زید نفر
25##61	برك جعل سمو برج جعل سرج قمر نور
25##62	جعل لیل نهر خلف رود ذكر رود شكر
25##63	عبد رحم مشی ارض هون خطب جهل قول سلم
25##64	بیت ربب سجد قوم
25##65	قول ربب صرف عذب عذب كون غرم
25##66	سوا قرر قوم
25##67	نفق سرف قتر كون بین قوم
25##68	دعو اله اله اخر قتل نفس حرم اله حقق زنی فعل لقی اثم
25##69	ضعف عذب یوم قوم خلد هون
25##70	توب امن عمل عمل صلح بدل اله سوا حسن كون اله غفر رحم
25##71	توب عمل صلح توب اله توب
25##72	شهد زور مرر لغو مرر كرم
25##73	ذكر ایی ربب خرر صمم عمی
25##74	قول ربب وهب زوج ذرر قرر عین جعل وقی امم
25##75	جزی غرف صبر لقی حیی سلم
25##76	خلد حسن قرر قوم
25##77	قول عبا ربب دعو كذب كون لزم
26##1	طسٓمٓ
26##2	ایی كتب بین
26##3	بخع نفس كون امن
26##4	شیا نزل سمو ایی ظلل عنق خضع
26##5	اتی ذكر رحم حدث كون عرض
26##6	كذب اتی نبا كون هزا
26##7	رای ارض نبت كلل زوج كرم
26##8	ایی كون كثر امن
26##9	ربب عزز رحم
26##10	ندو ربب اتی قوم ظلم
26##11	قوم وقی
26##12	قول ربب خوف كذب
26##13	ضیق صدر طلق لسن رسل
26##14	ذنب خوف قتل
26##15	قول ذهب ایی سمع
26##16	اتی قول رسل ربب علم
26##17	رسل بنی
26##18	قول ربو ولد لبث عمر سنو
26##19	فعل فعل فعل كفر
26##20	قول فعل ضلل
26##21	فرر خوف وهب ربب حكم جعل رسل
26##22	نعم منن عبد بنی
26##23	قول ربب علم
26##24	قول ربب سمو ارض بین كون یقن
26##25	قول حول سمع
26##26	قول ربب ربب ابو اول
26##27	قول رسل رسل جنن
26##28	قول ربب شرق غرب بین كون عقل
26##29	قول اخذ اله غیر جعل سجن
26##30	قول جیا شیا بین
26##31	قول اتی كون صدق
26##32	لقی عصو ثعب بین
26##33	نزع یدی بیض نظر
26##34	قول ملا حول سحر علم
26##35	رود خرج ارض سحر امر
26##36	قول رجو اخو بعث مدن حشر
26##37	اتی كلل سحر علم
26##38	جمع سحر وقت یوم علم
26##39	قول نوس جمع
26##40	تبع سحر كون غلب
26##41	جیا سحر قول اجر كون غلب
26##42	قول قرب
26##43	قول لقی لقی
26##44	لقی حبل عصو قول عزز غلب
26##45	لقی عصو لقف افك
26##46	لقی سحر سجد
26##47	قول امن ربب علم
26##48	ربب
26##49	قول امن قبل اذن كبر علم سحر علم قطع یدی رجل خلف صلب جمع
26##50	قول ضیر ربب قلب
26##51	طمع غفر ربب خطا كون اول امن
26##52	وحی سری عبد تبع
26##53	رسل مدن حشر
26##54	شرذم قلل
26##55	غیظ
26##56	جمع حذر
26##57	خرج جنن عین
26##58	كنز قوم كرم
26##59	ورث بنی
26##60	تبع شرق
26##61	رای جمع قول صحب درك
26##62	قول ربب هدی
26##63	وحی ضرب عصو بحر فلق كون كلل فرق طود عظم
26##64	زلف اخر
26##65	نجو جمع
26##66	غرق اخر
26##67	ایی كون كثر امن
26##68	ربب عزز رحم
26##69	تلو نبا
26##70	قول ابو قوم عبد
26##71	قول عبد صنم ظلل عكف
26##72	قول سمع دعو
26##73	نفع ضرر
26##74	قول وجد ابو فعل
26##75	قول رای كون عبد
26##76	ابو قدم
26##77	عدو ربب علم
26##78	خلق هدی
26##79	طعم سقی
26##80	مرض شفی
26##81	موت حیی
26##82	طمع غفر خطا یوم دین
26##83	ربب وهب حكم لحق صلح
26##84	جعل لسن صدق اخر
26##85	جعل ورث جنن نعم
26##86	غفر ابو كون ضلل
26##87	خزی یوم بعث
26##88	یوم نفع مول بنی
26##89	اتی اله قلب سلم
26##90	زلف جنن وقی
26##91	برز جحم غوی
26##92	قول كون عبد
26##93	دون اله نصر نصر
26##94	كبكب غوی
26##95	جند جمع
26##96	قول خصم
26##97	اله كون ضلل بین
26##98	سوی ربب علم
26##99	ضلل جرم
26##100	شفع
26##101	صدق حمم
26##102	كرر كون امن
26##103	ایی كون كثر امن
26##104	ربب عزز رحم
26##105	كذب قوم رسل
26##106	قول اخو وقی
26##107	رسل امن
26##108	وقی اله طوع
26##109	سال اجر اجر ربب علم
26##110	وقی اله طوع
26##111	قول امن تبع رذل
26##112	قول علم كون عمل
26##113	حسب ربب شعر
26##114	طرد امن
26##115	نذر بین
26##116	قول نهی كون رجم
26##117	قول ربب قوم كذب
26##118	فتح بین بین فتح نجو امن
26##119	نجو فلك شحن
26##120	غرق بعد بقی
26##121	ایی كون كثر امن
26##122	ربب عزز رحم
26##123	كذب عود رسل
26##124	قول اخو هود وقی
26##125	رسل امن
26##126	وقی اله طوع
26##127	سال اجر اجر ربب علم
26##128	بنی كلل ریع ایی عبث
26##129	اخذ صنع خلد
26##130	بطش بطش جبر
26##131	وقی اله طوع
26##132	وقی مدد علم
26##133	مدد نعم بنی
26##134	جنن عین
26##135	خوف عذب یوم عظم
26##136	قول سوی وعظ كون وعظ
26##137	خلق اول
26##138	عذب
26##139	كذب هلك ایی كون كثر امن
26##140	ربب عزز رحم
26##141	كذب رسل
26##142	قول اخو صلح وقی
26##143	رسل امن
26##144	وقی اله طوع
26##145	سال اجر اجر ربب علم
26##146	ترك امن
26##147	جنن عین
26##148	زرع نخل طلع هضم
26##149	نحت جبل بیت فره
26##150	وقی اله طوع
26##151	طوع امر سرف
26##152	فسد ارض صلح
26##153	قول سحر
26##154	بشر مثل اتی ایی كون صدق
26##155	قول نوق شرب شرب یوم علم
26##156	مسس سوا اخذ عذب یوم عظم
26##157	عقر صبح ندم
26##158	اخذ عذب ایی كون كثر امن
26##159	ربب عزز رحم
26##160	كذب قوم رسل
26##161	قول اخو وقی
26##162	رسل امن
26##163	وقی اله طوع
26##164	سال اجر اجر ربب علم
26##165	اتی ذكر علم
26##166	وذر خلق ربب زوج قوم عدو
26##167	قول نهی كون خرج
26##168	قول عمل قلی
26##169	ربب نجو اهل عمل
26##170	نجو اهل جمع
26##171	عجز غبر
26##172	دمر اخر
26##173	مطر مطر سوا مطر نذر
26##174	ایی كون كثر امن
26##175	ربب عزز رحم
26##176	كذب صحب رسل
26##177	قول وقی
26##178	رسل امن
26##179	وقی اله طوع
26##180	سال اجر اجر ربب علم
26##181	وفی كیل كون خسر
26##182	وزن قسطس قوم
26##183	بخس نوس شیا عثو ارض فسد
26##184	وقی خلق جبل اول
26##185	قول سحر
26##186	بشر مثل ظنن كذب
26##187	سقط كسف سمو كون صدق
26##188	قول ربب علم عمل
26##189	كذب اخذ عذب یوم ظلل كون عذب یوم عظم
26##190	ایی كون كثر امن
26##191	ربب عزز رحم
26##192	نزل ربب علم
26##193	نزل روح امن
26##194	قلب كون نذر
26##195	لسن عرب بین
26##196	زبر اول
26##197	كون ایی علم علم بنی
26##198	نزل بعض عجم
26##199	قرا كون امن
26##200	سلك قلب جرم
26##201	امن رای عذب الم
26##202	اتی بغت شعر
26##203	قول نظر
26##204	عذب عجل
26##205	رای متع سنو
26##206	جیا كون وعد
26##207	غنی كون متع
26##208	هلك قری نذر
26##209	ذكر كون ظلم
26##210	نزل شطن
26##211	بغی طوع
26##212	سمع عزل
26##213	دعو اله اله اخر كون عذب
26##214	نذر عشر قرب
26##215	خفض جنح تبع امن
26##216	عصی قول برا عمل
26##217	وكل عزز رحم
26##218	رای حین قوم
26##219	قلب سجد
26##220	سمع علم
26##221	نبا نزل شطن
26##222	نزل كلل افك اثم
26##223	لقی سمع كثر كذب
26##224	شعر تبع غوی
26##225	رای كلل ودی هیم
26##226	قول فعل
26##227	امن عمل صلح ذكر اله كثر نصر بعد ظلم علم ظلم قلب قلب
27##1	طسٓ ایی قرا كتب بین
27##2	هدی بشر امن
27##3	قوم صلو اتی زكو اخر یقن
27##4	امن اخر زین عمل عمه
27##5	سوا عذب اخر خسر
27##6	لقی قرا لدن حكم علم
27##7	قول اهل انس نور اتی خبر اتی شهب قبس صلی
27##8	جیا ندو برك نور حول سبح اله ربب علم
27##9	اله عزز حكم
27##10	لقی عصو رای هزز جنن ولی دبر عقب خوف خوف رسل
27##11	ظلم بدل حسن بعد سوا غفر رحم
27##12	دخل یدی جیب خرج بیض غیر سوا تسع ایی قوم كون قوم فسق
27##13	جیا ایی بصر قول سحر بین
27##14	جحد یقن نفس ظلم علو نظر كیف كون عقب فسد
27##15	اتی علم قول حمد اله فضل كثر عبد امن
27##16	ورث قول نوس علم نطق طیر اتی كلل شیا فضل بین
27##17	حشر جند جنن انس طیر وزع
27##18	اتی ودی نمل قول نمل نمل دخل سكن حطم جند شعر
27##19	بسم ضحك قول قول ربب وزع شكر نعم نعم ولد عمل صلح رضو دخل رحم عبد صلح
27##20	فقد طیر قول رای هدهد كون غیب
27##21	عذب عذب شدد ذبح اتی سلط بین
27##22	مكث غیر بعد قول حوط حوط جیا نبا یقن
27##23	وجد مرا ملك اتی كلل شیا عرش عظم
27##24	وجد قوم سجد شمس دون اله زین شطن عمل صدد سبل هدی
27##25	سجد اله خرج خبا سمو ارض علم خفی علن
27##26	اله اله ربب عرش عظم
27##27	قول نظر صدق كون كذب
27##28	ذهب كتب لقی ولی نظر رجع
27##29	قول ملا لقی كتب كرم
27##30	سمو اله رحم رحم
27##31	علو اتی سلم
27##32	قول ملا فتی امر كون قطع امر شهد
27##33	قول اول قوی اول باس شدد امر نظر امر
27##34	قول ملك دخل قری فسد جعل عزز اهل ذلل فعل
27##35	رسل هدی نظر رجع رسل
27##36	جیا قول مدد مول اتی اله خیر اتی هدی فرح
27##37	رجع اتی جند قبل خرج ذلل صغر
27##38	قول ملا اتی عرش قبل اتی سلم
27##39	قول عفر جنن اتی قبل قوم قوم قوی امن
27##40	قول عند علم كتب اتی قبل ردد طرف رای قرر عند قول فضل ربب بلو شكر كفر شكر شكر نفس كفر ربب غنی كرم
27##41	قول نكر عرش نظر هدی كون هدی
27##42	جیا قول عرش قول اتی علم قبل كون سلم
27##43	صدد كون عبد دون اله كون قوم كفر
27##44	قول دخل صرح رای حسب لجج كشف سوق قول صرح مرد قرر قول ربب ظلم نفس سلم اله ربب علم
27##45	رسل اخو صلح عبد اله فرق خصم
27##46	قول قوم عجل سوا قبل حسن غفر اله رحم
27##47	قول طیر قول طیر عند اله قوم فتن
27##48	كون مدن تسع رهط فسد ارض صلح
27##49	قول قسم اله بیت اهل قول ولی شهد هلك اهل صدق
27##50	مكر مكر مكر مكر شعر
27##51	نظر كیف كون عقب مكر دمر قوم جمع
27##52	بیت خوی ظلم ایی قوم علم
27##53	نجو امن كون وقی
27##54	قول قوم اتی فحش بصر
27##55	اتی رجل شهو دون نسو قوم جهل
27##56	كون جوب قوم قول خرج اول قری انس طهر
27##57	نجو اهل مرا قدر غبر
27##58	مطر مطر سوا مطر نذر
27##59	قول حمد اله سلم عبد صفو اله خیر شرك
27##60	خلق سمو ارض نزل سمو موه نبت حدق بهج كون نبت شجر اله اله قوم عدل
27##61	جعل ارض قرر جعل خلل نهر جعل رسو جعل بین بحر حجز اله اله كثر علم
27##62	جوب ضرر دعو كشف سوا جعل خلف ارض اله اله قلل ذكر
27##63	هدی ظلم برر بحر رسل روح بشر بین یدی رحم اله اله علو اله شرك
27##64	بدا خلق عود رزق سمو ارض اله اله قول هات برهن كون صدق
27##65	قول علم سمو ارض غیب اله شعر بعث
27##66	درك علم اخر شكك عمی
27##67	قول كفر كون ترب ابو خرج
27##68	وعد ابو قبل سطر اول
27##69	قول سیر ارض نظر كیف كون عقب جرم
27##70	حزن كون ضیق مكر
27##71	قول وعد كون صدق
27##72	قول عسی كون ردف بعض عجل
27##73	ربب فضل نوس كثر شكر
27##74	ربب علم كنن صدر علن
27##75	غیب سمو ارض كتب بین
27##76	قرا قصص بنی كثر خلف
27##77	هدی رحم امن
27##78	ربب قضی بین حكم عزز علم
27##79	وكل اله حقق بین
27##80	سمع موت سمع صمم دعو ولی دبر
27##81	هدی عمی ضلل سمع امن ایی سلم
27##82	وقع قول خرج دبب ارض كلم نوس كون ایی یقن
27##83	یوم حشر كلل امم فوج كذب ایی وزع
27##84	جیا قول كذب ایی حوط علم كون عمل
27##85	وقع قول ظلم نطق
27##86	رای جعل لیل سكن نهر بصر ایی قوم امن
27##87	یوم نفخ صور فزع سمو ارض شیا اله كلل اتی دخر
27##88	رای جبل حسب جمد مرر مرر سحب صنع اله تقن كلل شیا خبر فعل
27##89	جیا حسن خیر فزع امن
27##90	جیا سوا كبب وجه نور جزی كون عمل
27##91	امر عبد ربب بلد حرم كلل شیا امر كون سلم
27##92	تلو قرا هدی هدی نفس ضلل قول نذر
27##93	قول حمد اله رای ایی عرف ربب غفل عمل
28##1	طسٓمٓ
28##2	ایی كتب بین
28##3	تلو نبا حقق قوم امن
28##4	علو ارض جعل اهل شیع ضعف طوف ذبح بنی حیی نسو كون فسد
28##5	رود منن ضعف ارض جعل امم جعل ورث
28##6	مكن ارض رای جند كون حذر
28##7	وحی امم رضع خوف لقی یمم خوف حزن ردد جعل رسل
28##8	لقط اول كون عدو حزن جند كون خطا
28##9	قول مرا قرر عین قتل عسی نفع اخذ ولد شعر
28##10	صبح فاد امم فرغ كود بدو ربط قلب كون امن
28##11	قول اخو قصص بصر جنب شعر
28##12	حرم رضع قبل قول دلل اهل بیت كفل نصح
28##13	ردد امم قرر عین حزن علم وعد اله حقق كثر علم
28##14	بلغ شدد سوی اتی حكم علم جزی حسن
28##15	دخل مدن حین غفل اهل وجد رجل قتل شیع عدو غوث شیع عدو وكز قضی قول عمل شطن عدو ضلل بین
28##16	قول ربب ظلم نفس غفر غفر غفر رحم
28##17	قول ربب نعم كون ظهر جرم
28##18	صبح مدن خوف رقب نصر صرخ قول غوی بین
28##19	رود بطش عدو قول رود قتل قتل نفس رود كون جبر ارض رود كون صلح
28##20	جیا رجل قصو مدن سعی قول ملا امر قتل خرج نصح
28##21	خرج خوف رقب قول ربب نجو قوم ظلم
28##22	وجه لقی قول عسی ربب هدی سوی سبل
28##23	ورد موه وجد امم نوس سقی وجد دون مرا ذود قول خطب قول سقی صدر رعی ابو شیخ كبر
28##24	سقی ولی ظلل قول ربب نزل خیر فقر
28##25	جیا احد مشی حیی قول ابو دعو جزی اجر سقی جیا قصص قصص قول خوف نجو قوم ظلم
28##26	قول احد ابو اجر خیر اجر قوی امن
28##27	قول رود نكح احد بنی اجر ثمن حجج تمم عشر عند رود شقق وجد شیا اله صلح
28##28	قول بین بین اجل قضی عدو اله قول وكل
28##29	قضی اجل سیر اهل انس جنب طور نور قول اهل مكث انس نور اتی خبر جذو نور صلی
28##30	اتی ندو شطا ودی یمن بقع برك شجر اله ربب علم
28##31	لقی عصو رای هزز جنن ولی دبر عقب قبل خوف امن
28##32	سلك یدی جیب خرج بیض غیر سوا ضمم جنح رهب برهن ربب ملا كون قوم فسق
28##33	قول ربب قتل نفس خوف قتل
28##34	اخو فصح لسن رسل ردا صدق خوف كذب
28##35	قول شدد عضد اخو جعل سلط وصل ایی تبع غلب
28##36	جیا ایی بین قول سحر فری سمع ابو اول
28##37	قول ربب علم جیا هدی عند كون عقب دور فلح ظلم
28##38	قول ملا علم اله غیر وقد طین جعل صرح طلع اله ظنن كذب
28##39	كبر جند ارض غیر حقق ظنن رجع
28##40	اخذ جند نبذ یمم نظر كیف كون عقب ظلم
28##41	جعل امم دعو نور یوم قوم نصر
28##42	تبع دنو لعن یوم قوم قبح
28##43	اتی كتب بعد هلك قرن اول بصر نوس هدی رحم ذكر
28##44	كون جنب غرب قضی امر كون شهد
28##45	نشا قرن طول عمر كون ثوی اهل تلو ایی كون رسل
28##46	كون جنب طور ندو رحم ربب نذر قوم اتی نذر قبل ذكر
28##47	صوب صوب قدم یدی قول ربب رسل رسل تبع ایی كون امن
28##48	جیا حقق عند قول اتی مثل اتی كفر اتی قبل قول سحر ظهر قول كلل كفر
28##49	قول اتی كتب عند اله هدی تبع كون صدق
