1##1	ٱسْم ٱللَّه رَّحْمَٰن رَّحِیم
12##8	إِذ قَالَ یُوسُف أَخ أَحَبّ إِلَيٰ أَبٌ مِن عُصْبَة إِنّ أَبٌ فِي ضَلَٰل مُّبِین
12##9	قَتَلَ یُوسُف أَو ٱطْرَحُ أَرْض خَلَا وَجْه أَبٌ كَانَ مِن بَعْد قَوْم صَٰلِح
12##10	قَالَ قَآئِل مِن لَا قَتَلَ یُوسُف أَلْقَيٰٓ فِي غَیَٰبَت جُبّ ٱلْتَقَطَ بَعْض سَیَّارَة إِن كَانَ فَاعِل
12##11	قَالَ أَبٌ مَا لَا أَمِنَ عَلَيٰ یُوسُف إِنّ نَاصِح
12##12	أَرْسَلَ مَع غَد یَرْتَعْ یَلْعَبْ إِنّ حَٰفِظ
12##13	قَالَ إِنّ یَحْزُن أَن ذَهَبَ خَافَ أَن أَكَلَ ذِّئْب عَن غَٰفِل
12##14	قَالَ إِن أَكَلَ ذِّئْب عُصْبَة إِنّ إِذًا خَٰسِرِین
12##15	لَمَّا ذَهَبَ أَجْمَعُ أَن جَعَلَ فِي غَیَٰبَت جُبّ أَوْحَيٰٓ إِلَيٰ نَبَّأَ أَمْر هَٰذَا لَا یَشْعُرُ
12##16	جَآءَ أَبٌ عِشَآء بَكَتْ
12##17	قَالَ أَبٌ إِنّ ذَهَبَ ٱسْتَبَقَ تَرَكَ یُوسُف عِند مَتَٰع أَكَلَ ذِّئْب مَا مُؤْمِن لَو كَانَ صَادِق
12##18	جَآءَ عَلَيٰ قَمِیص دَم كَذِب قَالَ بَل سَوَّلَ نَفْس أَمْر صَبْر جَمِیل ٱللَّه مُسْتَعَان عَلَيٰ مَا یَصِفُ
12##19	جَآءَ سَیَّارَة أَرْسَلَ وَارِد أَدْلَيٰ دَلْو قَالَ بُشْرَيٰ هَٰذَا غُلَٰم أَسَرَّ بِضَٰعَة ٱللَّه عَلِیم مَا عَمِلَ
12##20	شَرَ ثَمَن بَخْس دَرَٰهِم مَّعْدُودَة كَانَ فِي مِن زَّٰهِدِین
12##21	قَالَ ٱلَّذِي ٱشْتَرَيٰ مِن مِصْر ٱمْرَأَت أَكْرَمَ مَثْوًي عَسَي أَن نَفَعَ أَو ٱتَّخَذَ وَلَد ذَٰلِك مَكَّ یُوسُف فِي أَرْض عَلَّمَ مِن تَأْوِیل حَدِیث ٱللَّه غَالِب عَلَيٰ أَمْر لَٰكِنّ أَكْثَر نَّاس لَا عَلِمَ
12##22	لَمَّا بَلَغَ أَشُدّ آتَي حُكْم عِلْم ذَٰلِك جَزَيٰ مُحْسِن
12##23	رَٰوَدُ ٱلَّذِي فِي بَیْت عَن نَفْس غَلَّقَتِ بَاب قَالَ هَیْتَ قَالَ مَعَاذ ٱللَّه إِنّ رَبّ أَحْسَنَ مَثْوًي إِنّ لَا أَفْلَحَ ظَالِم
12##24	قَد هَمَّ هَمَّ لَوْلَآ أَن رَءَا بُرْهَٰن رَبّ ذَٰلِك صَرَفَ عَن سُوٓء فَحْشَآء إِنّ مِن عَبْد مُخْلَص
12##25	ٱسْتَبَقَ بَاب قُدَّ قَمِیص مِن دُبُر أَلْفَ سَیِّد لَدَي بَاب قَالَ مَا جَزَآء مَن أَرَادَ أَهْل سُوٓء إِلَّا أَن یُسْجَنَ أَو عَذَاب أَلِیم
12##26	قَالَ رَٰوَدُ عَن نَفْس شَهِدَ شَاهِد مِن أَهْل إِن كَانَ قَمِیص قُدَّ مِن قُبُل صَدَقَ مِن كَٰذِب
12##27	إِن كَانَ قَمِیص قُدَّ مِن دُبُر كَذَبَ مِن صَادِق
12##28	لَمَّا رَءَا قَمِیص قُدَّ مِن دُبُر قَالَ إِنّ مِن كَیْد إِنّ كَیْد عَظِیم
12##29	یُوسُف أَعْرَضَ عَن هَٰذَا ٱسْتَغْفَرَ ذَنب إِنّ كَانَ مِن خَٰطِِین
12##30	قَالَ نِسَآء فِي مَدِینَة ٱمْرَأَت عَزِیز رَٰوَدُ فَتَيٰ عَن نَفْس قَد شَغَفَ حُبّ إِنّ رَءَا فِي ضَلَٰل مُّبِین
12##31	لَمَّا سَمِعَ مَكْر أَرْسَلَ إِلَيٰ أَعْتَدَتْ مُتَّكَ آتَي كُلّ وَٰحِدَة مِن سِكِّین قَالَ خَرَجَ عَلَيٰ لَمَّا رَءَا أَكْبَرْ قَطَّعَ یَد قَالَ حَٰش ٱللَّه مَا هَٰذَا بَشَر إِن هَٰذَا إِلَّا مَلَك كَرِیم
12##32	قَالَ ذَٰلِك ٱلَّذِي لُمْ فِي قَد رَٰوَدُ عَن نَفْس ٱسْتَعْصَمَ إِن لَم فَعَلَ مَا أَمَرَ یُسْجَنَ كَانَ مِن صَٰغِرُون
12##33	قَالَ رَبّ سِّجْن أَحَبّ إِلَيٰ مِن مَا دَعَا إِلَيٰ إِلَّا صَرَفَ عَن كَیْد أَصْبُ إِلَيٰ كَانَ مِن جَاهِل
12##34	ٱسْتَجَابَ رَبّ صَرَفَ عَن كَیْد إِنّ سَمِیع عَلِیم
12##35	ثُمّ بَدَا مِن بَعْد مَا رَءَا ءَایَة یُسْجَنَ حَتَّيٰ حِین
12##36	دَخَلَ مَع سِّجْن فَتَیَان قَالَ أَحَد إِنّ رَءَا یَعْصِرُ خَمْر قَالَ آخَر إِنّ رَءَا حَمَلَ فَوْق رَأْس خُبْز أَكَلَ طَیْر مِن نَبَّأَ تَأْوِیل إِنّ رَءَا مِن مُحْسِن
12##37	قَالَ لَا أَتَي طَعَام رَزَقَ إِلَّا نَبَّأَ تَأْوِیل قَبْل أَن أَتَي ذَٰلِك مِن مَا عَلَّمَ رَبّ إِنّ تَرَكَ مِلَّة قَوْم لَا ءَامَنَ ٱللَّه آخِر كَٰفِرُون
12##38	ٱتَّبَعَ مِلَّة آبَاء إِبْرَاهِیم إِسْحَاق یَعْقُوب مَا كَانَ أَن أَشْرَكَ ٱللَّه مِن شَيْء ذَٰلِك مِن فَضْل ٱللَّه عَلَيٰ عَلَيٰ نَّاس لَٰكِنّ أَكْثَر نَّاس لَا شَكَرَ
12##39	صَيٰحِب سِّجْن رَبّ مُّتَفَرِّقُون خَیْر أَم ٱللَّه وَٰحِد قَهَّار
12##40	مَا عَبَدَ مِن دُون إِلَّا ٱسْم سَمَّيٰ آبَاء مَا أَنزَلَ ٱللَّه مِن سُلْطَٰن إِن حُكْم إِلَّا ٱللَّه أَمَرَ أَن لَا عَبَدَ إِلَّا إِیَّا ذَٰلِك دِین قَیِّم لَٰكِنّ أَكْثَر نَّاس لَا عَلِمَ
12##41	صَيٰحِب سِّجْن أَمَّا أَحَد سَقَيٰ رَبّ خَمْر أَمَّا آخَر صَلَبُ أَكَلَ طَیْر مِن رَأْس قَضَيٰٓ أَمْر ٱلَّذِي فِي یَسْتَفْتُ
12##42	قَالَ ٱلَّذِي ظَنَّ أَنّ نَاج مِن ذَكَرَ عِند رَبّ أَنسَيٰ شَیْطَٰن ذِكْر رَبّ لَبِثَ فِي سِّجْن بِضْع سِنِین
12##43	قَالَ مَلِك إِنّ رَءَا سَبْع بَقَرَٰت سَمِین أَكَلَ سَبْع عِجَاف سَبْع سُنبُلَٰت خُضْر آخَر یَابِسَٰت أَیُّهَا مَلَأ یُفْتِی فِي رُّءْیَا إِن كَانَ رُّءْیَا تَعْبُرُ
12##44	قَالَ ضِغْث حُلُم مَا تَأْوِیل حُلُم عَٰلِم
12##45	قَالَ ٱلَّذِي نَجَا مِن ٱدَّكَرَ بَعْد أُمَّة نَبَّأَ تَأْوِیل أَرْسَلَ
12##46	یُوسُف أَیُّهَا صِدِّیق یُفْتِی فِي سَبْع بَقَرَٰت سَمِین أَكَلَ سَبْع عِجَاف سَبْع سُنبُلَٰت خُضْر آخَر یَابِسَٰت لَّعَلّ رَجَعَ إِلَيٰ نَّاس لَعَلّ عَلِمَ
12##47	قَالَ تَزْرَعُ سَبْع سِنِین دَأَب مَا حَصَد یَذَرَ فِي سُنبُل إِلَّا قَلِیل مِن مَا أَكَلَ
12##48	ثُمّ أَتَي مِن بَعْد ذَٰلِك سَبْع شَدِید أَكَلَ مَا قَدَّمَ إِلَّا قَلِیل مِن مَا أَحْصَنَتْ
12##49	ثُمّ أَتَي مِن بَعْد ذَٰلِك عَام فِي یُغَاثُ نَّاس فِي یَعْصِرُ
12##50	قَالَ مَلِك أَتَي لَمَّا جَآءَ رَسُول قَالَ رَجَعَ إِلَيٰ رَبّ سَأَلَ مَا بَال نِسَآء ٱلَّذِي قَطَّعَ یَد إِنّ رَبّ كَیْد عَلِیم
12##51	قَالَ مَا خَطْب إِذ رَٰوَدُ یُوسُف عَن نَفْس قَالَ حَٰش ٱللَّه مَا عَلِمَ عَلَيٰ مِن سُوٓء قَالَ ٱمْرَأَت عَزِیز َٰن حَصْحَصَ حَقّ رَٰوَدُ عَن نَفْس إِنّ مِن صَادِق
12##52	ذَٰلِك عَلِمَ أَنّ لَم خَانُ غَیْب أَنّ ٱللَّه لَا هَدَي كَیْد خَآئِنِین
12##53	مَا بَرَّأَ نَفْس إِنّ نَفْس أَمَّارَة سُوٓء إِلَّا مَا رَّحِمَ رَبّ إِنّ رَبّ غَفُور رَّحِیم
12##54	قَالَ مَلِك أَتَي أَسْتَخْلِصْ نَفْس لَمَّا كَلَّمَ قَالَ إِنّ یَوْم لَدَی مَّكِین أَمِین
12##55	قَالَ جَعَلَ عَلَيٰ خَزَآئِن أَرْض إِنّ حَفِیظ عَلِیم
12##56	ذَٰلِك مَكَّ یُوسُف فِي أَرْض یَتَبَوَّأُ مِن حَیْث شَآءَ أَصَابَ رَحْمَة مَن شَآءَ لَا أَضَاعُ أَجْر مُحْسِن
12##57	أَجْر آخِر خَیْر ٱلَّذِي ءَامَنَ كَانَ ٱتَّقَيٰ
12##58	جَآءَ إِخْوَةٌ یُوسُف دَخَلَ عَلَيٰ عَرَفَ مُنكِرُون
12##59	لَمَّا جَهَّزَ جَهَاز قَالَ أَتَي أَخ مِن أَبٌ لَا رَءَا أَنّ أَوْفَيٰ كَیْل خَیْر مُنزِلِین
12##60	إِن لَم أَتَي لَا كَیْل عِند لَا یَقْرَبُ
12##61	قَالَ رَٰوَدُ عَن أَبٌ إِنّ فَاعِل
12##62	قَالَ فِتْیَة جَعَلَ بِضَٰعَة فِي رَحْل لَعَلّ عَرَفَ إِذَا ٱنقَلَبَ إِلَيٰ أَهْل لَعَلّ رَجَعَ
12##63	لَمَّا رَجَعَ إِلَيٰ أَبٌ قَالَ أَبٌ مَّنَعَ مِن كَیْل أَرْسَلَ مَع أَخ ٱكْتَالُ إِنّ حَٰفِظ
12##64	قَالَ هَل أَمِنَ عَلَيٰ إِلَّا مَا أَمِنَ عَلَيٰ أَخ مِن قَبْل ٱللَّه خَیْر حَٰفِظ أَرْحَم رَّٰحِمِین
12##65	لَمَّا فَتَحَ مَتَٰع وَجَدَ بِضَٰعَة رَدَّ إِلَيٰ قَالَ أَبٌ مَا بَغَيٰ هَٰذَا بِضَٰعَة رَدَّ إِلَيٰ نَمِیرُ أَهْل حَفِظَ أَخ ٱزْدَادُ كَیْل بَعِیر ذَٰلِك كَیْل یَسِیر
12##66	قَالَ لَن أَرْسَلَ مَع حَتَّيٰ آتَي مَّوْثِق مِن ٱللَّه أَتَي إِلَّا أَن أَحَاطَ لَمَّا آتَي مَّوْثِق قَالَ ٱللَّه عَلَيٰ مَا قَالَ وَكِیل
12##67	قَالَ بُنَيّ لَا دَخَلَ مِن بَاب وَٰحِد دَخَلَ مِن بَاب مُّتَفَرِّقَة مَا أَغْنَتْ عَن مِن ٱللَّه مِن شَيْء إِن حُكْم إِلَّا ٱللَّه عَلَيٰ تَوَكَّلْ عَلَيٰ تَوَكَّلْ مُتَوَكِّلُون
12##68	لَمَّا دَخَلَ مِن حَیْث أَمَرَ أَبٌ مَا كَانَ أَغْنَتْ عَن مِن ٱللَّه مِن شَيْء إِلَّا حَاجَة فِي نَفْس یَعْقُوب قَضَيٰٓ إِنّ ذُو عِلْم مَا عَلَّمَ لَٰكِنّ أَكْثَر نَّاس لَا عَلِمَ
12##69	لَمَّا دَخَلَ عَلَيٰ یُوسُف ءَاوَيٰٓ إِلَيٰ أَخ قَالَ إِنّ أَخ لَا تَبْتَئِسْ مَا كَانَ عَمِلَ
12##70	لَمَّا جَهَّزَ جَهَاز جَعَلَ سِقَایَة فِي رَحْل أَخ ثُمّ أَذَّنَ مُؤَذِّن أَیَّتُهَا عِیر إِنّ سَّارِق
12##71	قَالَ أَقْبَلَ عَلَيٰ مَاذَا تَفْقِدُ
12##72	قَالَ تَفْقِدُ صُوَاع مَلِك مَن جَآءَ حِمْل بَعِیر زَعِیم
12##73	قَالَ ٱللَّه قَد عَلِمَ مَا جَآءَ أَفْسَدُ فِي أَرْض مَا كَانَ سَّارِق
12##74	قَالَ مَا جَزَآء إِن كَانَ كَٰذِب
12##75	قَالَ جَزَآء مَن وَجَدَ فِي رَحْل جَزَآء ذَٰلِك جَزَيٰ ظَالِم
12##76	بَدَأَ وِعَآء قَبْل وِعَآء أَخ ثُمّ ٱسْتَخْرَجَ مِن وِعَآء أَخ ذَٰلِك كِیدُ یُوسُف مَا كَانَ أَخَذَ أَخ فِي دِین مَلِك إِلَّا أَن شَآءَ ٱللَّه رَفَعَ دَرَجَة مَن شَآءَ فَوْق كُلّ ذُو عِلْم عَلِیم
12##77	قَالَ إِن سَرَقَ قَد سَرَقَ أَخ مِن قَبْل أَسَرَّ یُوسُف فِي نَفْس لَم یُبْدِيَ قَالَ شَرّ مَّكَان ٱللَّه أَعْلَم مَا یَصِفُ
12##78	قَالَ أَیُّهَا عَزِیز إِنّ أَبٌ شَیْخ كَبِیر أَخَذَ أَحَد مَّكَان إِنّ رَءَا مِن مُحْسِن
12##79	قَالَ مَعَاذ ٱللَّه أَن أَخَذَ إِلَّا مَن وَجَدَ مَتَٰع عِند إِنّ إِذًا ظَالِم
12##80	لَمَّا ٱسْتَیَْسَ مِن خَلَصُ نَجِیّ قَالَ كَبِیر لَم عَلِمَ أَنّ أَبٌ قَد أَخَذَ عَلَيٰ مَّوْثِق مِن ٱللَّه مِن قَبْل مَا فَرَّط فِي یُوسُف لَن أَبْرَحَ أَرْض حَتَّيٰ أَذِنَ أَبٌ أَو حَكَمَ ٱللَّه خَیْر حَٰكِمِین
12##81	رَجَعَ إِلَيٰ أَبٌ قَالَ أَبٌ إِنّ ٱبْن سَرَقَ مَا شَهِدَ إِلَّا مَا عَلِمَ مَا كَانَ غَیْب حَٰفِظ
12##82	سَأَلَ قَرْیَة ٱلَّذِي كَانَ فِي عِیر ٱلَّذِي أَقْبَلَ فِي إِنّ صَادِق
12##83	قَالَ بَل سَوَّلَ نَفْس أَمْر صَبْر جَمِیل عَسَي ٱللَّه أَن أَتَي جَمِیع إِنّ عَلِیم حَكِیم
12##84	تَوَلَّيٰ عَن قَالَ أَسَف عَلَيٰ یُوسُف ٱبْیَضَّتْ عَیْن مِن حُزْن كَظِیم
12##85	قَالَ ٱللَّه تَفْتَؤُا ذَكَرَ یُوسُف حَتَّيٰ كَانَ حَرَض أَو كَانَ مِن هَالِك
12##86	قَالَ إِنّ مَا أَشْكُوا بَثّ حُزْن إِلَيٰ ٱللَّه عَلِمَ مِن ٱللَّه مَا لَا عَلِمَ
12##87	بُنَيّ ذَهَبَ تَحَسَّسُ مِن یُوسُف أَخ لَا یَئِسَ مِن رَّوْح ٱللَّه إِنّ لَا یَئِسَ مِن رَّوْح ٱللَّه إِلَّا قَوْم كَٰفِرُون
12##88	لَمَّا دَخَلَ عَلَيٰ قَالَ أَیُّهَا عَزِیز مَسَّ أَهْل ضُرّ جَآءَ بِضَٰعَة مُّزْجَيٰة أَوْفَيٰ كَیْل تَصَدَّقَ عَلَيٰ إِنّ ٱللَّه جَزَيٰ مُتَصَدِّقِین
12##89	قَالَ هَل عَلِمَ مَا فَعَلَ یُوسُف أَخ إِذ جَاهِل
12##90	قَالَ إِنّ یُوسُف قَالَ یُوسُف هَٰذَا أَخ قَد مَنَّ ٱللَّه عَلَيٰ إِنّ مَن ٱتَّقَيٰ صَبَرَ إِنّ ٱللَّه لَا أَضَاعُ أَجْر مُحْسِن
12##91	قَالَ ٱللَّه قَد آثَرَ ٱللَّه عَلَيٰ إِن كَانَ خَٰطِِین
12##92	قَالَ لَا تَثْرِیب عَلَيٰ یَوْم غَفَرَ ٱللَّه أَرْحَم رَّٰحِمِین
12##93	ذَهَبَ قَمِیص هَٰذَا أَلْقَيٰٓ عَلَيٰ وَجْه أَبٌ أَتَي بَصِیر أَتَي أَهْل أَجْمَعِین
12##94	لَمَّا فَصَلَ عِیر قَالَ أَبٌ إِنّ وَجَدَ رِیح یُوسُف لَوْلَآ أَن تُفَنِّدُ
12##95	قَالَ ٱللَّه إِنّ فِي ضَلَٰل قَدِیم
12##96	لَمَّا أَن جَآءَ بَشِیر أَلْقَيٰٓ عَلَيٰ وَجْه ٱرْتَدَّ بَصِیر قَالَ لَم قَالَ إِنّ عَلِمَ مِن ٱللَّه مَا لَا عَلِمَ
12##97	قَالَ أَبٌ ٱسْتَغْفَرَ ذَنب إِنّ كَانَ خَٰطِِین
12##98	قَالَ سَوْف ٱسْتَغْفَرَ رَبّ إِنّ غَفُور رَّحِیم
12##99	لَمَّا دَخَلَ عَلَيٰ یُوسُف ءَاوَيٰٓ إِلَيٰ أَبَوَان قَالَ دَخَلَ مِصْر إِن شَآءَ ٱللَّه ءَامِنِین
12##100	رَفَعَ أَبَوَان عَلَيٰ عَرْش خَرَّ سَاجِد قَالَ أَبٌ هَٰذَا تَأْوِیل رُّءْیَا مِن قَبْل قَد جَعَلَ رَبّ حَقّ قَد أَحْسَنَ إِذ أَخْرَجَ مِن سِّجْن جَآءَ مِن بَدْو مِن بَعْد أَن نَّزَغَ شَیْطَٰن بَیْن بَیْن إِخْوَةٌ إِنّ رَبّ لَطِیف مَا شَآءَ إِنّ عَلِیم حَكِیم
12##101	رَبّ قَد آتَي مِن مُلْك عَلَّمَ مِن تَأْوِیل حَدِیث فَاطِر سَمَآء أَرْض وَلِيّ فِي دُّنْیَا آخِر تَوَفَّيٰ مُسْلِم أَلْحَقْ صَٰلِح
12##102	ذَٰلِك مِن نَبَأ غَیْب أَوْحَيٰٓ إِلَيٰ مَا كَانَ لَدَی إِذ أَجْمَعُ أَمْر مَكَرَ
12##103	مَا أَكْثَر نَّاس لَو حَرَصْ مُؤْمِن
12##104	مَا سَأَلَ عَلَيٰ مِن أَجْر إِن إِلَّا ذِكْر عَٰلَمِین
12##105	كَأَیِّن مِن ءَایَة فِي سَمَآء أَرْض مَرَّ عَلَيٰ عَن مُّعْرِضُون
12##106	مَا ءَامَنَ أَكْثَر ٱللَّه إِلَّا مُشْرِك
12##107	أَمِنَ أَن أَتَي غَٰشِیَة مِن عَذَاب ٱللَّه أَو أَتَي سَاعَة بَغْتَة لَا یَشْعُرُ
12##108	قَالَ هَٰذَا سَبِیل دَعَا إِلَيٰ ٱللَّه عَلَيٰ بَصِیرَة مَن ٱتَّبَعَ سُبْحَٰن ٱللَّه مَا مِن مُشْرِك
12##109	مَا أَرْسَلَ مِن قَبْل إِلَّا رِجَال أَوْحَيٰٓ إِلَيٰ مِن أَهْل قَرْیَة لَم سَارَ فِي أَرْض نَّظَرَ كَیْف كَانَ عَٰقِبَة ٱلَّذِي مِن قَبْل دَار آخِر خَیْر ٱلَّذِي ٱتَّقَيٰ لَا عَقَلُ
12##110	حَتَّيٰ إِذَا ٱسْتَیَْسَ رَسُول ظَنَّ أَنّ قَد كَذَبَ جَآءَ نَصْر نَجَّيٰ مَن شَآءَ لَا رَدَّ بَأْس عَن قَوْم مُجْرِم
12##111	قَد كَانَ فِي قَصَص عِبْرَة أُولِي أَلْبَٰب مَا كَانَ حَدِیث ٱفْتَرَيٰ لَٰكِن تَصْدِیق ٱلَّذِي بَیْن یَد تَفْصِیل كُلّ شَيْء هُدًي رَحْمَة قَوْم ءَامَنَ
13##1	الٓمٓر ذَٰلِك ءَایَة كِتَٰب ٱلَّذِي أَنزَلَ إِلَيٰ مِن رَبّ حَقّ لَٰكِنّ أَكْثَر نَّاس لَا ءَامَنَ
13##2	ٱللَّه ٱلَّذِي رَفَعَ سَمَآء غَیْر عَمَد رَءَا ثُمّ ٱسْتَوَيٰٓ عَلَيٰ عَرْش سَخَّرَ شَمْس قَمَر كُلّ جَرَیْ أَجَل مُّسَمًّي یُدَبِّرُ أَمْر فَصَّلَ ءَایَة لَعَلّ لِقَآء رَبّ یُوقِنُ
13##3	ٱلَّذِي مَدَّ أَرْض جَعَلَ فِي رَوَٰسِي نَهَر مِن كُلّ ثَمَرَٰت جَعَلَ فِي زَوْج ٱثْنَیْن أُغْشِیَتْ لَیْل نَهَار إِنّ فِي ذَٰلِك ءَایَة قَوْم یَتَفَكَّرُ
13##4	فِي أَرْض قِطَع مُّتَجَٰوِرَٰت جَنَّة مِن عِنَب زَرْع نَّخِیل صِنْوَان غَیْر صِنْوَان سَقَيٰ مَآء وَٰحِد فَضَّلَ بَعْض عَلَيٰ بَعْض فِي أُكُل إِنّ فِي ذَٰلِك ءَایَة قَوْم عَقَلُ
13##5	إِن عَجِبُ عَجَب قَوْل إِذَا كَانَ تُرَاب إِنّ فِي خَلْق جَدِید أُولَٰٓئِك ٱلَّذِي كَفَرَ رَبّ أُولَٰٓئِك غِلّ فِي عُنُق أُولَٰٓئِك أَصْحَٰب نَار فِي خَٰلِد
13##6	ٱسْتَعْجَلَ سَیِّئَة قَبْل حَسَنَة قَد خَلَا مِن قَبْل مَثُلَٰت إِنّ رَبّ ذُو مَّغْفِرَة نَّاس عَلَيٰ ظُلْم إِنّ رَبّ شَدِید عِقَاب
13##7	قَالَ ٱلَّذِي كَفَرَ لَوْلَآ أَنزَلَ عَلَيٰ ءَایَة مِن رَبّ إِنّ مَا مُنذِر كُلّ قَوْم هَاد
13##8	ٱللَّه عَلِمَ مَا حَمَلَ كُلّ أُنثَيٰ مَا غِیضَ أَرْحَام مَا ٱزْدَادُ كُلّ شَيْء عِند مِقْدَار
13##9	عَٰلِم غَیْب شَهَٰدَة كَبِیر مُتَعَال
13##10	سَوَآء مِن مَن أَسَرَّ قَوْل مَن جَهَرَ مَن مُسْتَخْف لَیْل سَارِب نَهَار
13##11	مُعَقِّبَٰت مِن بَیْن یَد مِن خَلْف حَفِظَ مِن أَمْر ٱللَّه إِنّ ٱللَّه لَا یُغَیِّرُ مَا قَوْم حَتَّيٰ یُغَیِّرُ مَا نَفْس إِذَا أَرَادَ ٱللَّه قَوْم سُوٓء لَا مَرَدّ مَا مِن دُون مِن وَال
13##12	ٱلَّذِي أَرَیْ بَرْق خَوْف طَمَع أَنشَأَ سَحَاب ثَقِیل
13##13	سَبَّحَ رَعْد حَمْد مَلَك مِن خِیفَة أَرْسَلَ صَاعِقَة أَصَابَ مَن شَآءَ جَٰدَلُ فِي ٱللَّه شَدِید مِحَال
13##14	دَعْوَة حَقّ ٱلَّذِي دَعَا مِن دُون لَا ٱسْتَجَابَ شَيْء إِلَّا بَٰسِط كَفَّی إِلَيٰ مَآء بَلَغَ فَا مَا بَٰلِغ مَا دُعَآء كَٰفِرُون إِلَّا فِي ضَلَٰل
13##15	ٱللَّه سَجَدَ مَن فِي سَمَآء أَرْض طَوْع كَرْه ظِلّ غُدُوّ أَصِیل
13##16	قَالَ مَن رَبّ سَمَآء أَرْض قَالَ ٱللَّه قَالَ ٱتَّخَذَ مِن دُون وَلِيّ لَا مَلَكَتْ نَفْس نَفْع لَا ضَرّ قَالَ هَل ٱسْتَوَيٰٓ أَعْمَيٰ بَصِیر أَم هَل ٱسْتَوَيٰٓ ظُلُمَٰت نُور أَم جَعَلَ ٱللَّه شَرِیك خَلَقَ خَلْق تَشَٰبَهَ خَلْق عَلَيٰ قَالَ ٱللَّه خَٰلِق كُلّ شَيْء وَٰحِد قَهَّار
13##17	أَنزَلَ مِن سَمَآء مَآء سَالَتْ أَوْدِیَة قَدَر ٱحْتَمَلَ سَیْل زَبَد رَّابِی مِن مَا أَوْقَدُ عَلَيٰ فِي نَار ٱبْتِغَآء حِلْیَة أَو مَتَٰع زَبَد مِثْل ذَٰلِك ضَرَبَ ٱللَّه حَقّ بَٰطِل أَمَّا زَبَد ذَهَبَ جُفَآء أَمَّا مَا نَفَعَ نَّاس مَكَثَ فِي أَرْض ذَٰلِك ضَرَبَ ٱللَّه مَثَل
13##18	ٱلَّذِي ٱسْتَجَابَ رَبّ حُسْنَيٰ ٱلَّذِي لَم ٱسْتَجَابَ لَو أَنّ مَا فِي أَرْض جَمِیع مِثْل مَع ٱفْتَدَيٰ أُولَٰٓئِك سُوٓء حِسَاب مَأْوَيٰ جَهَنَّم بِئْسَ مِهَٰد
13##19	مَن عَلِمَ إِنّ أَنزَلَ إِلَيٰ مِن رَبّ حَقّ مَن أَعْمَيٰ إِنّ مَا تَذَكَّرَ أُولِي أَلْبَٰب
13##20	ٱلَّذِي أَوْفَيٰ عَهْد ٱللَّه لَا نَقَضَتْ مِّیثَٰق
13##21	ٱلَّذِي یَصِلُ مَا أَمَرَ ٱللَّه أَن یَصِلُ خَشِيَ رَبّ خَافَ سُوٓء حِسَاب
13##22	ٱلَّذِي صَبَرَ ٱبْتِغَآء وَجْه رَبّ أَقَامَ صَلَوٰة أَنفَقَ مِن مَا رَزَقَ سِرّ عَلَانِیَة یَدْرَؤُا حَسَنَة سَیِّئَة أُولَٰٓئِك عُقْبَي دَار
13##23	جَنَّة عَدْن دَخَلَ مَن صَلَحَ مِن آبَاء زَوْج ذُرِّیَّٰت مَلَك دَخَلَ عَلَيٰ مِن كُلّ بَاب
13##24	سَلَٰم عَلَيٰ مَا صَبَرَ نِعْمَ عُقْبَي دَار
13##25	ٱلَّذِي نَقَضَتْ عَهْد ٱللَّه مِن بَعْد مِّیثَٰق قُطِعَ مَا أَمَرَ ٱللَّه أَن یَصِلُ أَفْسَدُ فِي أَرْض أُولَٰٓئِك لَعْنَة سُوٓء دَار
13##26	ٱللَّه بَسَطَ رِزْق مَن شَآءَ قَدَرَ فَرِحَ حَیَوٰة دُّنْیَا مَا حَیَوٰة دُّنْیَا فِي آخِر إِلَّا مَتَٰع
13##27	قَالَ ٱلَّذِي كَفَرَ لَوْلَآ أَنزَلَ عَلَيٰ ءَایَة مِن رَبّ قَالَ إِنّ ٱللَّه أَضَلَّ مَن شَآءَ هَدَي إِلَيٰ مَن أَنَابَ
13##28	ٱلَّذِي ءَامَنَ ٱطْمَأَنَّ قَلْب ذِكْر ٱللَّه أَلَآ ذِكْر ٱللَّه ٱطْمَأَنَّ قَلْب
13##29	ٱلَّذِي ءَامَنَ عَمِلَ صَّٰلِحَٰت طُوبَيٰ حُسْن مََاب
13##30	ذَٰلِك أَرْسَلَ فِي أُمَّة قَد خَلَا مِن قَبْل أُمَّة تَلَيٰ عَلَيٰ ٱلَّذِي أَوْحَيٰٓ إِلَيٰ كَفَرَ رَّحْمَٰن قَالَ رَبّ لَا إِلَٰه إِلَّا عَلَيٰ تَوَكَّلْ إِلَيٰ مَتَاب
13##31	لَو أَنّ قُرْءَان سُیِّرَتْ جَبَل أَو قَطَّعَ أَرْض أَو كَلَّمَ مَّیِّت بَل ٱللَّه أَمْر جَمِیع لَم یَئِسَ ٱلَّذِي ءَامَنَ أَن لَو شَآءَ ٱللَّه هَدَي نَّاس جَمِیع لَا زَالَت ٱلَّذِي كَفَرَ أَصَابَ مَا صَنَعُ قَارِعَة أَو حَلَلْ قَرِیب مِن دَار حَتَّيٰ أَتَي وَعْد ٱللَّه إِنّ ٱللَّه لَا أَخْلَفُ مِّیعَاد
