,Finglish,Persian
1153,harfhaayi ke too ghooti hich ataari peydaa nemishe.,حرفهایی که تو قوطی هیچ عطاری پیدا نمیشه
1295,"ghalam raa rooye kaaghaz gozaashtam, mikhaastam be oo befahmaanam ke kaare fori va foti daaram.",قلم را روی کاغذ گذاشتم،میخواستم به او بفهمانم که کار فوری و فوتی دارم
938,in kaar raa behtar nemikonad,.اين کارو بهتر نمي کنه
392,na madar ghorban e dastetan khodesh hast komak halam e kheyr bebinid baz ham kheyr bebinid.,نه مادر قربون دست تون،خودش هست،کمک حالمه خیر ببینین.بازم عذر می خوام
1629,zahmat nakeshin moones khaanom nemikhorim be khodaa hichi.,زحمت نکشین مونس خانم نمی خوریم بخدا هیچی.
240,az bank vam begiran poul ro be khodrosaz naghdi bedan va aghsat ro be bank pardakht kounan.,از بانك وام بگيرن پول رو به خودروساز نقدى بدن و اقساط رو به بانك پرداخت كنن
690,nasl azimi az javaanaan dar shorof be ers bordan donyaa maa hastand,نسل عظیمی از جوانان در شرف به ارث بردن دنیای ما هستند
1492,tehraan miyaan dige.,.تهران میان دیگه
213,dar edame baresi mokonim ke dar poshte pardeh ye in etefagh che boude ast.,در ادامه بررسی میکنیم که در پشت پرده این اتفاق چه بوده است
473,oghat e khoshi dastte bashid.,اوقات خوشي داشته باشي
897,baayad doostat raa az dast bedehi?,و دوست تو از دست بدي ؟
898,saahebam in ghalaade raa baraayam dorost kard,صاحبم این قلاده رو برام درست کرد
221,ba sarfeh vaghteh bish tar dar onja daryaftam ke momken ast noe jadidi az rish sefid ha dar hul padidar shodan dar mohit kar bashand.,با صرف وقت بیشتر در آنجا، دریافتم که ممکن است نوع جدیدی از «ریشسفیدها» در حال پدیدار شدن در محیط کار باشند
682,film haa doorbin makhfi haa shaan raa didim?,فیلمای دوربین مخفی هاشونو دیدین؟
917,va besiaari digar,و بسیاری دیگر
547,in harf ha aashnaa be nazar miresad.,این حرفها آشنا به نظر میرسید
1637,shaayad be in khaater ke.,.شاید به این خاطر که
868,vaziat tori shode ke baayad in tori polo morgh bokhorim,وضعیت جوری شده که باید اینجوری پلو مرغ بخوریم
583,man chand ta navar ra didam.,من چند تا نوار رو ديدم
1526,"na, oon naa pedariye man hast.",نه، اون ناپدری من هست
1204,vaghti polisaa paarti deleshoon mikhaad va shomaa az paarti bizaarid.,وقتی پلیسا پارتی دلشون می خواد و شما از پارتی بیزارید
809,digar sar kaar nemiravam,دیگه سرکار نمیرم
1007,salaam man dokhtari hastam az jonoob az khoozestaan.,سلام من دختری هستم از جنوبم از خوزستان
60,motasefam aghaye mohammadi.,متاسفم آقای محمدی
354,rafti ye niaat ham bokon madar to javani.,رفتی یه نیت هم بکن مادر، تو جوونی.
1796,ghalb chiye? hoy. martike nemiyaay biroon?,قلب چیه؟ هووی . مرتیکه نمیای بیرون؟
1514,chizi ke man az tahghigham midaanam in ast ke.,چیزی که من از تحقیقم میدانم این است که
886,yek kam havaa sard bood,یکم هوا سرد بود
328,nemikhahim digar bishtar az in.,نمی خوایم دیگه بیشتر از این
1757,emrooz ke zang zadam taa behesh begam belakhare saaheb khoone shodim.,امروزکه زنگ زدم تابهش بگم بالاخره صاحبخونه شدیم،
1270,didam hamoon pesar hastesh ye lahze tamaam badanam yakh shod.,دیدم همون پسر هستش یه لحظه تمام بدنم یخ شد
945,be sarkaar raas negaah konid,به سرکار راس نگاه کنيد
857,az aan pesar porsid aayaa baraaye behboodi khaahart haazeri be oo khoon ehda koni?,از آن پسر پرسید: آیا برای بهبودی خواهرت حاضری به اون خون اهدا کنی؟
1473,"goft az doostam medaad gereftam be oo goftam: khoobe, doostet az to chizi nakhaast? khoraaki chizi.",گفت از دوستم مداد گرفتم به او گفتم: خوبه ، دوستت از تو چیزی نخواست؟ خوراکی چیزی
487,shekam e zan e hamele mesl e tabl ast.,شکم زن حامله مثل طبله
1748,in sage alaan goft salaam.,این سگه الان گفت:سلام
260,in vaghean haghighat dareh.,اين واقعاً حقيقت داره
1713,dargire mohamad boodam. bacheam ye kam tab karde.,درگیر محمد بودم. بچه ام یه کم تب کرده
737,aah bale albate khaane khodetaan ast man chekaream,آه بله البته خونه خودتونه. من چیکاره ام؟
1670,albate man chand baari shode ke didam too hayaateshoon kafsh mardoone hast.,البته من چند باری شده که دیدم تو حیاطشون کفش مردونه هست.
892,man movaghatan nayaamadeam injaa,من موقتا نيومدم اينجا
691,mikhaahad beravad dast be aab,می خواد بره دست به آب
301,kari ke goftam ra kardi?,کاري که گفتم رو کردي؟
1507,javaanaan hamchenin be man migooyand negaraanand ke mahaarathaaye laazem raa aamoozesh nabinand.,جوانان همچنین به من میگویند نگرانند که مهراتهای لازم را آموزش نبینند
15,hichi nagoft.,هیچچی نگفتم
1087,az mehmoondaari kenaar bekesham.,از مهمونداری کنار بکشم
1826,haalaa ejaaze midi biyaam too? haalam bade.,حالا اجازه میدی بیام تو؟ حالم بده.
197,nemitounest saresh rou bendazad payien biad inja.,نمی تونه سرشو بندازه پایین بیاد اینجا
995,baayad baahaash harf bezanim.,باید باهاش حرف بزنم
273,poor az energyie mosbat boud.,پر از انرژی مثبت بود
615,"mishnavam che migooei, mitavani.",ميشونم چي ميگي. ميتوني
1709,"sobh bidaar shodam, baa tasvire footbaali ke too zehnam bood va dah yaazdah saa'at bad baayad anjaam mishod.",صبح بیدار شدم، با تصویر فوتبالی که که تو ذهنم بود و ده یازده ساعت بعد باید انجام میشد
560,in namayesh e hafte ye baad bood.,اين نمايش هفته بعد بود
312,be hamin dalil vey ra ghorbani nakardand va azad shod.,به همین دلیل وی را قربانی نکردند و آزاد شد
482,jadid ast rabete bargharar konim.,جديدت رابطه برقرار کني
1108,bishtare aanhaa har kodaan bish az do daghighe tool nemikeshad.,بیشتر آنها هر کدام بیش از دو دقیقه طول نمیکشند
1854,oon be dardetoon nemikhore!,!اون به دردتون نمیخوره
90,faghat mikhaham befahmam ke chera.,فقط ميخام بفهمم که چرا
1604,taghriban khord too sooratam.,!تقریبا خورد تو صورتم
1361,mesle oon mard haa hastam.,مثل اون مردها هستم.
1359,be shedat aasib didam.,به شدت آسیب دیدم
718,magar yeki harf bezanad,مگه اينکه يه حرفي بزني
1208,nemigozaaram deser nakhorde berin.,نمی گذارم دسر نخورده برین
478,yeki yeki harf bezanid bebinam chi migid.,یکی یکی حرف بزنین ببینم چی میگین
894,be nazaram deltang didanash baashi behtar az in ast ke har rooz bebinish va deltang daashtanash baashi,بنظرم دلتنگ دیدنش باشی، بهترازاینه که هرروز ببینیش و دلتنگ داشتنش باشی
1557,man peyghaamesh ro paak kardam.,من پیغامش رو پاک کردم
1614,aaghaaye hoseyni raaje be khoonatoon mota'asefam.,اقای حسینی راجع به خونه تون متاسفم
1850,emrooz shenidam ali parvin mikhaad perspolis ro bekhare vaaghean khoshhaal shodam.,امروز شنیدم علی پروین میخواد پرسپولیس رو بخره واقعا شاد شدم
532,aksar e farzandan e malek abdolaah dar in maraasem e aroosi sherkat karde boodand.,اکثر فرزندان ملک عبدالله در این مراسم عروسی شرکت کرده بودند
1505,"ozr mikhaaham, baayad beravam.",عذر میخواهم،باید برم
118,ama be hich vajh na motavajeh mishod va na dastbardar bood.,اما به هیچ وجه نه متوجه میشد و نه دست بردار بود
1532,vali hich etefaaghi nayoftaad.,.ولی هیچ اتفاقی نیفتاد
324,hame ye rouz ra kaar mikardam.,همه روز رو کار مي کردم
949,ke behtar az to ghaayem konad,که بهتر از تو قايم کنم
1157,noghteye dige zendegi nemikonam.,نقطه دیگه زندگی نمیکنم
1085,ziraa alafhaa va saagh haaye kheyzaraane hame shekaste va khord shode bood.,زیرا علفها و ساقههای خیزران اطراف همه شکسته و خورد شده بود
1432,dovom taghire sari be samte sisteme ghazaayiye paaydaar ast.,دوم تغییر سریع به سمت سیستم غذایی پایدار است
1565,banaabarin agar kaarfarmaa jedan mosamam be taghir baashad.,بنابراین اگر کارفرما جدا مصمم به تغییر باشد
1818,maa oon ro negah midaarim.,ما اون رو نگه میداریم
247,anjoiman meli jahan gardan hagh ozviat ali ro batel mikoune.,انجمن ملی جهانگردان حق عضویت علی را باطل می کند
470,"aan ha asheghe e chips hastand , khande, koneshgar ha ashegh e pool hastand.",آنها عاشق چپپس هستند! (خنده) کنشگرها عاشق پول هستند
11,jasadeh mazbour ra dar bishei ke dar goudi kouhestan ghrar darad peyda kardam.,جسد مزبور را در بیشهای که در گودی کوهستان قرار دارد پیدا کردم.
1429,inaaro dar haali anjaam midaadim ke baaham ghahr boodim.,اینارو در حالی انجام میدادیم که باهم قهر بودیم
296,oun yek motakhaseh nabeghe hast.,اون يک متخصص نابغه هست
428,"shayad tou halt e khobi nabashad, lebas ash kam bashad.",شاید تو حالت خوبی نباشه لباسش کم باشه؟
988,chi daari mikhari injaa?,چي داري مي خري اينجا؟
851,maamaan naakhonat raa nakhor,مامان ، ناخنت رو نخور
991,shenler ham aslan nemifahme,چندلر هم اصلا نمي فهمه
499,"hanouz chnd satri na neveshte boodam ke yeki az rofagha ye zendan jeloyam sabza shod, kenar takht neshast.",هنوز چند سطری ننوشته بودم که، یکی از رفقای زندان جلوم سبز شد، کنار تخت نشست
787,mahram tarin fard zendegiam mahsaa ast,محرم ترین فرد زندگیم مهسا ست
535,chand bari ke zang e  dar e ma ra zade bood va ejaze dadim biayad va beravad poshte bam e khaneshan.,چندباری که زنگ درمون رو زده بود و اجازه دادیم بیاد و بره پشت بوم خونشون
1723,in ghesmat behtarin saaghdoosh.,این قسمت بهترین ساقدوش
147,mikhasti tou kar mod beri.,.ميخاستي تو کار مد بري
1624,aahaay shomaa haaletoon khoobe?,آهای شما، حالتون خوبه؟
14,"az ou porsidam, chegouneh be inja residi?",از او پرسیدم چگونه به اینجا رسیدی؟
1302,vali sabr konin baazam hast.,ولی صبر کنین بازم هست
1016,oh! negaah kon! - chi man?,اوه! نگاه كن! -چی من؟
382,"bai beshin roya joon, karrim dashti? begou javan ha anjam midahand.",بیا بشین رویا جون کاریم داشتی بگو جوونا انجام میدن.
386,mesl e raychel to dabirestan aast.,!مثل ريچل تو دبيرستانه
1014,revaayat haa shabihe hamdigarand.,روایتها شبیه همدیگرند
1130,taa dar biyaabaane gostarde va paak va door az aaloodegihaaye shahr parvaresh yaabad.,تا در بیابان گسترده و پاک و دور از الودگیهای شهر پرورش یابد
604,"par ha ye to az bas ziba ast mardom bara ye neshani dar mian ghoran migozarand ya ba aan bad bezan dorost mikonanad, chera nashokri mikoni?",پرهای تو از بس زیباست مردم برای نشانی در میان قران میگذارند یا با ان باد بزن درست میکنند چرا ناشکری میکنی؟
1680,albate man omidvaar boodam.,البته من امیدوار بودم
1901,"in shaamele yek maazhoole aab o havaa, yek maazhoole zist-kore va yek modele eghtesaade jahaani ast.",این شامل یک ماژول آب و هوا، یک ماژول زیست-کره و یک مدل اقتصاد جهانی است
1357,aakharin baari ke baa in shedat barf didam yaazdah saalam bood va in barrf too in chand saal bi saabeghast.,اخرین باری که با این شدت برف دیدم یازده سالم بود و این برف تو این چند سال بی سابقست
614,va besiari digar.,و بسیاری دیگر
173,in behtare ta inke be bahooneye dars o mashgh har rooz bere khoonashoon.,این بهتره تا اینکه به بهونه درس و مشق هر روز بره خونه شون.
1462,beyne do nime sari shaam khordim man aslan nafahmidam chi mikhoram.,بین دو نیمه سریع شام خوردیم من که اصلا نفهمیدیم چی میخورم
67,hameh rahat beshim.,همه راحت بشیم
426,sharmande am bara ye fekr haei ke dar moredat karadm.,شرمنده ام واسه فکرایی که درموردت کردم
1349,"niloofar: na nadaarim, chikaar daari?",نیلوفر:نه نداریم،چیکار داری؟
939,javaanaan hamchenin be man migooyand ke nagaraan kaar hastand,جوانان همچنین به من میگویند که نگران کار هستند
728,nemitavaanam in kaar raa bokonam,نمیتوانم این کار را بکنم
362,vaghti horouf e seda dar ra dar fingilish neveshtan type nemikonid.,وقتی حروف صدا دار رو توی فینگلیش نوشتن تایپ نمیکنید
1207,"khob boro alaan miyaad biroon, bodo.",خب برو الان می یاد بیرون، بدو.
552,"na na , henry dovomi ast.",نه،نه، هنري دوميش هست
340,man be harf hayeshan goush mikardam va fekr mikardam.,من به حرفهایشان گوش میکردم و فکر میکردم
371,"slam man dokhtary az jonoubam, az khouzestan.",سلام من دختری از جنوبم از خوزستان
668,dor otaagh donbaalash mikonim,دور اتاق دنبالش مي کني
174,oon malek hame chieye.,.اون مالك همه چيه.
1199,man az gi pi es am estefaade kardam va raaho peydaa kardam.,من از جی پی س ام استفاده کردم و راهو پیدا کردم
216,cheghadr ham jer zani mikard.,چقدم جـر زنی می کرد
942,albate man omidvaar boodam,البته من اميدوار بودم
1864,aknoon dar hamin raastaa va baa daanesh be aanche dar piraamoone man migzarad.,اکنون در همین راستا و با دانش به آنچه در پیرامون من میگذرد
3,"zod bash bego, hameh ro daran mikoshan, alaneh ke beresan, sedayeh zarbeh hay mohkam be dar khaneh be goush miresad.",زود باش بگو. همه رو دارن میکشن الانه که برسن. صدای ضربه های محکم به در خانه به گوش میرسد
1027,"oje ghodrat badaniyemaan shaayad 20 saalegist, oje ghodrate maali va daraamade maa shaayad 50 saalegi baashad.",اوج قدرت بدنیمان شاید ۲۰ سالگی است، اوج قدرت مالی و درآمد ما شاید ۵۰ سالگی باشد
254,milion ha nafar az mardom hamin alan ehsas moshabeh man ra darand.,میلیونها نفر از مردم همین الان احساس مشابه من را دارند
1226,va kasi ke entekhaab mikonid baashid yani hame chiz.,و کسی که انتخاب میکنید باشید یعنی همه چیز
94,bastebandi konid ta beram.,بسته بندي کنيد تا برم
1089,"amaa nemidoonan ke oonjaa, jaaye kheyli khatarnaakiye.",اما نمی دونن که اونجا، جای خیلی خطرناکیه
1403,va moshtaagham tamaame emshab raa baraaye bayaane joziyaate aan dar khedmate shomaa baasham.,و مشتاقم تمام امشب را برای بیان جزئیات آن در خدمت شما باشم
1286,khob to chikaar mikoni?,خب ، تو چیكار می كنی؟
1536,ye moosh too kaabinet didam.,یه موش تو کابینت دیدم
1469,baashe man behet zang mizanam.,باشه من بهت زنگ می زنم
1918,ke yeki az nemoone haaye ghaabele tahsin so'oode haftaad o shesh peleiye time meliye vaalibaale zanaane iraan dar rankinge jadid ast.,که یکی از نمونه های قابل تحسین صعود هفتاد و شش پله ای تیم ملی والیبال زنان ایران در رنکینگ جدید است
1816,ki bood ke behesh gofti badan zang bezane?,کی بود که بهش گفتی بعداً زنگ بزنه؟
491,"khatab be moosh: mibini che zendegi bara ye man dorost kardi, daste golie ke khodat aab dadi, hala bia jamaash kon.",خطاب به موش می بینی چه زندگی برامون درست کردی؟ دسته گلیه که خودت به آب دادی حالا بیا جمعش کن.
1190,sefaareshe ye pitzaa shabih.,.سفارش یه پیتزا شبیه
44,vali sabr konid inja yek noghteh roushan ast.,ولی صبر کنید -- اینجا یک نقطهٔ روشن است
978,aare man haminjaa mimiram,اره من همين جا مي ميرم
1240,del too delam nist bebinam aakhare in daastaan chi mishe.,دل تو دلم نیس ببینم اخر این داستان چی میشه
994,az mehmoondaari kenaar bekesham.,از مهمونداری کنار بکشم
880,fekr haaye kheyli ziaadi kardam,فکرهاي خيلي زيادي کردم
193,"ke dar saye ye abshar, ba shokouh behesht penhan shode.",که در سایه ی ابشار با شکوه بهشت پنهان شده
1516,neshoone komak be saalmandaan ro hanooz nagereftam.,نشون کمک به سالمندان رو هنوز نگرفتم
511,"chesh entezar nbashid hich vaght elhi, be hagh e panj tan.",چشم انتظار نباشین هیچ وقت االهی بحق پنج تن.
501,be in goone afrad pishnahad e shoghli bedahid va aan ha r a tashvigh konid ta aan kar ra bepazirand ta forsat ha ye jadidi be dast avarand.,به اینگونه افراد پیشنهاد شغلی بدهید و آنها را تشویق کنید تا آن کار را بپذیرند تا فرصتهای جدیدی بدست آورند
71,tou zendegie ma faghat ab o havas hast ke taghir mikounad.,تو زندگی ما فقط آب و هواس که تغییر میکنه
1185,"kheyli sholoogh bood, too yeki az koochehaa paark kardim va raftim shirini forooshi.",خیلی شلوغ بود،ماشینو تو یکی از کوچه ها پارک کردیم و رفتیم شیرینی فروشی
1232,"sobhe panj shanbe bar khalaafe roozaye dige, bade bidaar shodan, az takht boland nashodam.",صبح پنجشنبه برخلاف روزای دیگه،بعد بیدار شدن، از تخت بلند نشدم
1589,"shakhsan, be che kasi mitavaanid moraajee konid taa yek raabeteye morabigariye do jaanebe raa khalgh konad?",شخصا، به چه کسی می توانید مراجعه کنید تا یک رابطه مربیگری دوجانبه را خلق کند؟
210,yek tikeh choub tabdil kardi.,يک تيکه چوب تبديل کردي
1200,paahaaye khoshhaal.,پاهای خوشحال
1081,bartariye mano lams kard.,.برتری منو لمس كرد
698,vali sabr konid injaa yek noghte roshan ast,ولی صبر کنید -- اینجا یک نقطهٔ روشن است
152,pesarak ba shojaat khod ra baraye marg amade kardeh bood. choon fekr mikard ke gharar ast  ke tamam khoonash ra be khaharash bedahad.,پسرک با شجاعت خود را اماده مرگ کرده بود،چون فکر می کرد که قرار است تمام خونش را به خواهرش بدهد!
343,man az bist o shesh ta panjah o do salegi kar afarin e hotel ha ye kouchak boudeh am.,من از ۲۶ تا ۵۲ سالگی کارآفرین هتلهای کوچک بودهام،
1856,darbaareye man minevisid?,درباره ی من می نویسید ؟
1857,yek barnaameye mortabet baa salaamati etelaa'aate shomaa raa be sherkate bime miforooshad.,یک برنامه مرتبط با سلامتی اطلاعات شما را به شرکت بیمه درمان میفروشد
208,motmaeni ke doctor nemikhay.,مطمئني که دکتر نميخاي؟
1885,nime dovom shoroo shod.,نیمه دوم شروع شد
1396,chand vaghte ino midooni?,چند وقته اینو میدونی؟
781,pas maa donbaal raah hal haaye pishrafte hastim raah hal haaye jadid,پس ما دنبال راهحلهای پیشرفته هستیم راهحلهای جدید
437,mitarsam ke shoke beshin.,مي ترسيدم که شوکه بشين
888,noche haaye baa vafaaye man,نوچه های با وفای من
442,walkman e man ra ham pas bede.,!واکمن من رو هم پس بده
1381,"delam nemikhaad beram doktor, mitarsam chizi baashe va baazam dardesaraa shoroo beshe.",دلمم نمیخاد برم دکتر،میترسم چیزی باشه وبازم دردسرا شروع بشه
1712,"khaanoome ke bache daar shod, be shoharesh goft.",خانومه که بچه دار شد،به شوهرش گفت
1345,tasmim migirand moshkele haml o naghl raa hal konand baraaye maloolaan.,تصمیم میگیرند مشکل حمل و نقل را حل کنند برای معلولان جامعهشان
1343,"maanande labkhand zadan va salaam daadan dar raahro, kaamelan goosh daadan vaghti kasi baa shomaa harf mizanad.",مانند لبخند زدن و سلام دادن در راهرو، کاملا گوش دادن وقتی کسی با شما حرف میزند
1817,baa gerye bi ensaaf chetor delet miyaad? maa nemitoonim tanhaash bezaarim.,با گریه بی انصاف چطور دلت میاد؟ ما نمیتونیم تنهاش بزاریم.
364,man dashtam jigh mizadam.,.من داشتم جيغ مي زدم
76,mifahmi ke manzouram chieh?,مي فهمي که منظورم چيه؟
1535,tamaame melat haaye jahaan ke garmaayeshe jahaani raa zire do darajeye selsiyoos negah daashte boodand.,تمام ملتهای جهان که گرمایش جهانی را زیر دو درجه سلسیوس نگه داشته بودند
777,eyn sooraakh moosh mimaanad,عين سوراخ موش مي مونه
546,aan ha makhsoosan dar mord e ayande yesan negaran hastand.,آنها مخصوصاً درمورد آیندهشان نگران هستند
1346,boro baabaa toam! zeshte! zeshte!,برو بابا توام! زشته! زشته!
879,man goftam khoon sard baash,من گفتم خونسرد باش
1198,na az tarsnaak boodane divhaa.,نه از ترسناک بودن دیوها
163,oono bedesh man bezar bahash sohbat konam.,اونو بدش من، بذار باهاش صحبت کنم
1405,yani shomaa nemidooni? naa salaamati dast be ghalamam haa. khoob neveshtano migam dige.,یعنی شما نمی دونی؟ ناسلامتی دست به قلمم ها. خوب نوشتنو میگم دیگه.
1586,"miliyoon haa nafar az faghr khaarej shodeand, vali baa fadaa kardane fazaaye amaliyaatiye amn bar rooye zamin.",میلیونها نفر از فقر خارج شدهاند، ولی با فدا کردن فضای عملیاتی امن بر روی زمین
53,fekr kounam hich kas be andazeh man khoush hal bargashtan ali nist.,فکر کنم هیچکی اندازه من خوشحال برگشتن علی نیست
92,"man nemitavanam ba on ha jang kounam, pas beh tar ast ke khod ra zesht va bad shekl konam ta dast az sar man bardarand o dar kou ho dash azad basham.",من نمیتوانم با آنها جنگ کنم پس بهتر است که خود را زشت و بد شکل کنم تا دست از من بر دارند و در کوه و دشت آزاد باشم
662,khial kardam khodaa biaamorz shodim,خیال کردم خدا بیامرز شدین
948,baabaa in sag sokhangooie,بابا این سگه سخنگویه
734,hanooz baavar nadaaram ke to nisti va man hastam,هنوزم باور ندارم که تو نیستی و من هستم
1873,in kheyli baaese naaraahatiye.,این خیلی باعث ناراحتیه
646,mishavad yek raazi ra be shoma begooyam?,میشه یه رازی بهتون بگم؟
493,"hey, berim sham bokhorim?",هي ، بريم شام بخوريم ؟
400,"dorost baad az in fel va enfeal, team mizan e eshtebahi az darou ra be bimar dad.",درست بعد از این فعل و انفعال، تیم میزان اشتباهی از دارو را به بیمار داد
1474,doktore dastesh behesh mirese.,دکتره دستش بهش می رسه
1724,"- na, mikhaam zobesh konam.",.نه ، میخام ذوبش کنم-
317,nime ye aval tamam shod.,نیمه ی اول تموم شد
133,mikhaham maharathaie mesle sakht o saz va bargh ro biamoozam.,میخواهند مهارتهایی مثل ساخت و ساز و برق را بیاموزند
765,be doktor viner zang mizanam,به دکتر وينر زنگ ميزنم
1290,"shaayadam man morde baasham, alaki migan ke hastam.",شایدم من مرده باشم٬الکی میگن که هستم!
1471,"va agar har kodaam az in noghaate tamaas raa be khoobi modiriyat mikard, baaes mishod kaarkonaan ehsaase arzesh konand.",و اگر هر کدام از این نقاط تماس را به خوبی مدیریت میکرد، باعث میشد کارکنان احساس ارزش کنند
1793,say mikonim saaket baashim.,سعی میکنیم ساکت باشیم
1311,avalin baari ke farghe dokhtar va pesaro fahmidam bache boodam baa dokhtare hamsaaye davaam shod.,اولین باری که فرق دختر وپسرو فهمیدم بچه بودم با دختر همسایه دعوام شد
1,baleh motmaen bashid hastam.,بله ، مطمئن باشيد هستم
1619,baraaye khodemoon nigah midaarim.,برای خودمون نیگه داریم
345,fekr kardam rabetamoun mordeh aast.,.فکر کردم رابطمون مرده
1077,chenaanche ghasam yaad kard ke man digar harfi nadaaram.,چنانچه قسم یاد کرد که من دیگر حرفی ندارم
1570,raahe hal haayi ke be javaanaan forsate mobaareze baraaye aayandeshaan raa bedahad.,راهحلهایی که به جوانان فرصت مبارزه برای آیندهشان را بدهد
1280,poste instaageraamiye jaalebe amirmahdi zhoole darbaareye rizeshe gheymate dolaar.,پست اینستاگرامی جالب امیرمهدی ژوله درباره ریزش قیمت دلار
1640,ye shahre makhroobe shode.,.یه شهر مخروبه شده
1673,"aare, tanhaayi kheyli sakhte.",آره ، تنهایی خیلی سخته
1142,va az doosham estefaade koni!,!و از دوشم استفاده کنی
637,khob che maani darad khahar shohar beravad beshinad va ba doostanash gap bezanad va aroos bigaari konad.,خب چه معنی داره،خواهرشوهر بره بشینه و بادوستاش گپ بزنه و عروس بیگاری کنه
397,kheily vase hat khouban.,"خيلي واسه "" هات "" خوبم "
1303,taraf sadosi kilooshe oomade mige chi bokhoram laaghar sham chi nakhoram nahaa chi bokhoram.,طرف صدوسی کیلوشه اومده میگه چی بخورم لاغر شم چی نخورم نهها چی بخورم
575,"agar gharar bood ghrize aadi shavad, chera zan bara ye shoharash aadi nemishavad.",اگه قرار بود غریزه عادی بشه چرا زن برای شوهرش عادی نمیشه؟
684,vasse hamin baraaye yek hafte,واسه همين براي يه هفته
95,man joee hastam bazigaram.,!من جويي هستم! بازيگرم
1210,do baraabar kardane sarmaaye gozaari dar enerzhi haaye tajdid pazir.,دو برابر کردن سرمایهگذاری در انرژیهای تجدیدپذیر
1165,alaan khodam miram taa be hame saabet beshe harfaash hame dorooghe.,الان خودم میرم تا به همه ثابت بشه حرفاش همه دروغه.
1887,in mage takhte shaasi nis ke alaaeme hayaati ro yaadaasht mikonan?,این مگه تخته شاسی نیس که علائم حیاتی رو یادداشت میکنن؟
1495,key man in harf ro zadam?,کی من این حرف رو زدم؟
227,man hamisheh touye filma mididam ke adam ha migouftan chizi baraye az dast dadan nadaran.,من همیشه تو فیلما میدیدم که آدما میگفتن چیزی برای از دست دادن ندارم
320,va amaa.,و اما
985,va be maghaamaat aamrikaai tosie mikonim ke ebteda baa nezaamiaan khod dar khalij faars sohbat konand va sepas be ezhaar nazar bepardaazand,وبه مقامات آمریکایی توصیه می کنیم که ابتدا با نظامیان خود در خلیج فارس صحبت کنند و سپس به اظهار نظر بپردازند
1795,hame gamaan mikardand ke masale hal shode ast.,همه گمان میکردند که مسئله حلشده است
804,oo baa man be goor miravad,!اون با من به گور ميره
1540,to chikaar mikhaay bokoni?,تو چیکار میخوای بکنی؟
689,fekr nemikardam ke dokhtar haa,فکر نمي کردم که دخترها
1716,nemitoonam in kaaro bokonam.,نمی تونم این کارو بکنم
1602,ketaabe jaamee esme koodakaan.,کتاب جامع اسم کودکان.
1322,pesarak pedarbozorgash raa tamaashaa kard ke naamei minevesht.,پسرک پدربزرگش را تماشا کرد که نامه ای می نوشت
1168,"hast ye chand roozi. say kardam kasi nafahme taa yekhorde khodesh del o damaagh peydaa kone, bad.",هست یه چند روزی. سعی کردم کسی نفهمه تا یخورده خودش دل و دماغ پیدا کنه، بعد
326,are az haraji kharidamesh.,.آره. از حراجي خريدمش
732,hich chiz digar 8 aban bordam kaado raa daadam behesh,هیچی دیگه ۸ آبان بردم کادو رو دادم بهش
1318,amaa dar morede aan haa ke tajrobeash nemikonand chetor? agar shomaa faghat aan raa bebinid yaa beshnavid chetor? shomaa yek shaahedid.,اما در مورد آنها که تجربهاش نمیکنند چطور؟ اگر شما فقط آن را ببینید یا بشنوید چطور؟ شما یک شاهدید
1180,hasan mano bebakhsh bezaar biyaaramet biroon.,حسن، منو ببخش بذار بیارمت بیرون
1533,dar haale haazer dar lige yeke torkiye hasht baazi anjaam daadim.,در حال حاضردر لیگ یک ترکیه هشت بازی انجام دادیم
85,midounam yek rouz doubareh mitavanam tou ra bebinam.,میدونم یه روز دوباره می تونم تو رو ببینم
93,tamas shoma baray ma mohemeh.,.تماس شما براي ما مهمه
521,hala melli pooshan e dokhtar e valibal e iran dar mian e chehel team e bartar e jahan hastand.,حالا ملی پوشان دختر والیبال ایران در میان چهل تیم برتر جهان هستند
283,vezarateh kharejeh amrica eghdam be moughabele ba in campain kard.,وزارت خارجه آمریکا اقدام به مقابله با این کمپین کرد
322,chiz ha ye digary ham boodand.,چيزهاي ديگه اي هم بودن
554,cheghadr aroom mishavad goft?,چه قدر آروم ميشه گفت ؟
1863,"pedaram in marde ghavi, varzeshkaar va por enerzhi.",پدرم این مرد قوی، ورزشکار و پرانرژی
1423,man zire eyvoonetoon ghaayem shodam chon doosetoon daarami.,من زیر ایوونتون قایم شدم چون دوستون دارمی
1910,"bodo elyaas, ye khorde shokolaat ham bede.",بدو الیاس، یه خورده شکلات بهم بده
447,agar fahmide bood ham khodash ra be oon rah zade bood.,اگه هم فهمیده بود خودش را به اون راه زده بود!
1752,daari be chi negaah mikoni?,داری به چی نگاه میکنی؟
1820,mardom tajrobiyaate maa raa be onvaane bedehi talaghi mikonand va na sarmaaye.,مردم تجربیات ما را به عنوان بدهی تلقی میکنند و نه سرمایه
799,khob haalaa man asabi hastam,خوب حالا من عصبي هستم
626,mikha shoma in ra peigiri konid va jaha ye khali ra por konid.,میخواهم شما این را پیگیری کنید و جاهای خالی را پر کنید
775,aksar farzandaan malek abdolaah dar in maraasem aroosi sherkat karde boodand,اکثر فرزندان ملک عبدالله در این مراسم عروسی شرکت کرده بودند
